Full name (Google Translate)	Birth Day	Birth Month	Birth Year	Death Day	Death Month	Death Year	Specialty	Source	______ ___	____ ________	____ ______	_____________
Titov Vladimir Mikhailovich	19	9	1933				Specialist in the field of mechanics pulsed explosive processes and methods of their experiment	http://www.isaran.ru/?q=ru/persostav	___________ ____ ___________	04.02.1782	24.10.1841	_______, __________ _ _______ ___________
TOLSTIKOV Henry A.	21	1	1933	25	4	2013	One skilled in the art of organic synthesis and catalysis by metal	http://www.isaran.ru/?q=ru/persostav	___________ ______ ________	25.08.1864	06.05.1963	_______-_______
Wilfredo Torres Iribar	19	6	1933				The doctor, a specialist in clinical hematology, blood morphology and cytology	http://www.isaran.ru/?q=ru/persostav	_____ ________	02.09.1877	22.09.1956	_____, _____, __________ _ _______ ____________
Troubetzkoy Kliment Nikolaevich	3	7	1933				Specialist in the area of __theoretical foundations of design, technology forecasting and integrated development of natural resources	http://www.isaran.ru/?q=ru/persostav	________ ____ _____________	09.01.1740	02.01.1800	_______________ _______
Joachim Trümper (Trümper Joachim)	27	5	1933				Astrophysicist, a specialist in the field of relativistic astrophysics and X-ray astronomy	http://www.isaran.ru/?q=ru/persostav	______ ______ _____________	18.06.1945		__________ _ _______ ______________ __________
Edmund Phelps (Edmund S. Phelps)	26	7	1933				Economist, an expert in macroeconomics	http://www.isaran.ru/?q=ru/persostav	_______ ______	01.07.1710	29.01.1785	__________________, _____, _____, ______________
Yuri D. Tsvetkov	23	5	1933				Expert in the field of chemical physics, radiation and photochemistry, chemical radiospectroscopy	http://www.isaran.ru/?q=ru/persostav	_______ ______ __________	06.08.1898	06.09.1980	_________
Shalin Radium E.	6	1	1933	11	7	2006	Specialist in the field of structural materials for aircraft and their production technology	http://www.isaran.ru/?q=ru/persostav	_______ _____ _____________	30.12.1930	11.01.2004	__________ _ _______ ________ _ ________ _____ _ ____
Alexey Yablokov	3	10	1933				Expert in the field of population biology, evolution and conservation of wildlife	http://www.isaran.ru/?q=ru/persostav	_______ _____ _________	09.04.1914	02.09.2013	______, __________, ___________
Avsyuk Yurii	29	7	1934				Specialist in the field of geophysics, gravimetry, geodynamics, Earth's rotation theory, tidal gravity variations	http://www.isaran.ru/?q=ru/persostav	_______ ________ __________	01.02.1928	19.04.1998	__________ _ _______ ________ ___________
Evandro Agazzi (Evandro Agazzi)	2	10	1934				Philosopher, an expert in the philosophy of science and philosophical anthropology	http://www.isaran.ru/?q=ru/persostav	_______ _______ ________	01.07.1788	19.11.1852	______, _________, _______
Ayala, Francisco Jose (Francisco Jose Ayala)	12	3	1934				Expert in the field of general biology, genetics, and evolution	http://www.isaran.ru/?q=ru/persostav	_______ _____ ___________	27.03.1954		__________ _ _______ ________ _ _____________ ______________ __________ ___ ______________ __________________ _____________-___________ ______
Veniamin V. Alexeev	3	7	1934				Specialist in the history of regional, industrial, social and demographic development of the Asian part of Russia	http://www.isaran.ru/?q=ru/persostav	_______ ______ ________	01.06.1748	07.04.1795	_____, _____
Sergei Ivanovich Anisimov	11	12	1934				Specialist in continuum physics, the theory of condensed matter, physical kinetics	http://www.isaran.ru/?q=ru/persostav	_______ _______ __________	03.10.1856	02.02.1907	______
Atabekov Joseph G.	7	12	1934				Specialist in the field of virology and microbiology	http://www.isaran.ru/?q=ru/persostav	_______ ______ _________	08.10.1897	20.05.1957	_____, __________ _ _______ _______ ____________ _ _______________
Adolf A. Bartholomew	4	6	1934	10	9	2003	Expert in the field of soil mechanics and foundation engineering pile	http://www.isaran.ru/?q=ru/persostav	_______ _____ _________	12.11.1841	01.06.1909	_______-________, ________
Boastful Nikolai	29	5	1934	29	8	2005	Expert in the field of numerical methods, optimization algorithms, theory of functions, mathematical problems in mechanics and physics	http://www.isaran.ru/?q=ru/persostav	___________ _____ __________	17.10.1912	08.01.1978	__________ _ _______ ________
Bogatikov Oleg A.	15	12	1934				Specialist in igneous geology, petrography	http://www.isaran.ru/?q=ru/persostav	___________ ______	15.01.1839	25.03.1911	_______ _________
Vladimir Bolshakov	21	9	1934				Expert in the field of population and evolutionary ecology	http://www.isaran.ru/?q=ru/persostav	___________ ______ ________	29.03.1935		__________ _ _______ ________ _______________ ______________ _________.
Yuri N. Bubnov	1	10	1934				One skilled in organic and organometallic chemistry	http://www.isaran.ru/?q=ru/persostav	_______ _________ _________	23.02.1931	03.07.1998	__________ _ _______ _________________
James Bjorken (Bjorken James Daniel)	22	6	1934				Theoretical physicist, an expert in the field of strong interactions	http://www.isaran.ru/?q=ru/persostav	__________ _________ _______	11.12.1918	03.08.2008	________, ____________ _______
Dyantszo Wang (Wang Dianzuo)	23	3	1934				A materials specialist in the art enrichment of fine particles, composite nanostructures	http://www.isaran.ru/?q=ru/persostav	_______ _____ __________	28.03.1928	19.04.2000	__________ _ _______ ______ ___________, __________ _ ____________ ______
Varshalovich Dmitry	14	8	1934				Specialist in the field of astrophysics, theoretical spectroscopy and quantum theory	http://www.isaran.ru/?q=ru/persostav	_______ __________ _____________	29.03.1950		__________ _ _______ _____ _ __________ ____________ __________, _ _____ ______________ _____ ____ _ ______ ______ _________
Vaskov Simon T.	17	9	1934	16	8	2007	Automation specialist research and computing	http://www.isaran.ru/?q=ru/persostav	_______ ______ ________	13.10.1872	13.03.1936	_________
Voevodin Valentin V.	22	3	1934	27	1	2007	Expert in the field of computational mathematics and mathematical software of computers and systems	http://www.isaran.ru/?q=ru/persostav	________ _________ ___________	21.10.1947		__________ _ _______ _______________ _____________ ________ ___________ ______
Emilia I. Vorobyov	27	9	1934				Expert in the field of evolutionary morphology of modern and fossil vertebrates	http://www.isaran.ru/?q=ru/persostav	________ ________ __________	11.11.1946		______-_________, __________ _ _______ __________ ____________ ________
Gaidenko Piama Pavlovna	30	1	1934				Specialist in the history of philosophy, science and culture.	http://www.isaran.ru/?q=ru/persostav	________ ________ _________	16.01.1853	31.07.1900	_______, _________, ____
Gnuchev Nikolai Vasilyevich	14	6	1934				Specialist in physical and chemical biology, the mechanism of action of cytolytic lymphocytes	http://www.isaran.ru/?q=ru/persostav	________ ________ __________	27.10.1924	17.09.2012	__________ _ _______ ____________, ________ _ ____________ __________________ __________ ________________ ____________ ___ ___________-____________ ____________ _ __________ _______-___________ _______
Sin Igor V.	10	9	1934				Specialist in the field of power semiconductor electronics and pulse techniques.	http://www.isaran.ru/?q=ru/persostav	________ ______ _________	01.07.1785	16.01.1856	_____, _____
Alexander Gritsenko	9	11	1934				Specialist in the design and operation of natural gas fields, field preparation and processing of gas and gas condensate	http://www.isaran.ru/?q=ru/persostav	________ _____ _____________	26.06.1917	13.10.1996	__________ _ _______ ____________ ______________
Vadim L. Gurevich	4	6	1934				Physicist	http://www.isaran.ru/?q=ru/persostav	________ ______ __________	12.04.1930	09.03.1994	__________ _ _______ ___________ _ _______ ______
Anatoly V. Dmitriev	31	10	1934				Specialist in the field of sociology	http://www.isaran.ru/?q=ru/persostav	________ ______ __________	05.05.1820	04.10.1879	_______
Zhizhchenko Alexei Borisovich	19	7	1934				Mathematician. Expert in the field of scientific telecommunications and information systems in mathematics	http://www.isaran.ru/?q=ru/persostav	____________ _______ ___________	08.03.1918		_________
Ilya Zakharov-Gezekhus Artemyevitch	18	6	1934				Expert in the field of genetics.	http://www.isaran.ru/?q=ru/persostav	_________ _______ __________	05.12.1923	25.06.1995	__________ _ _______ ________ _____________ ___ _ ____________ ________
Ivanov Vilen	6	7	1934				Expert in the field of social development issues	http://www.isaran.ru/?q=ru/persostav	__________ ____ __________	25.06.1939		__________ _ _______ ________ ______________-_______________ ______ ___________________ ______________ _ __________ _______________ _____________ _ ______________
Ivan D. Ivanov	9	1	1934	25	1	2012	Specialist in the world economy and international economic relations	http://www.isaran.ru/?q=ru/persostav	________ _____ __________	21.12.1956		__________ _ _______ ______________ _ ___________
Il'gamov Marat Aksanovich	8	4	1934				Expert in the field of continuum mechanics, applied mathematics	http://www.isaran.ru/?q=ru/persostav	_________ ______ __________	27.09.1929		__________ _ _______ ________ _ _____________ __________ ________
Shunso Ishihara (Ishihara Syunse) (Ishihara Shunso)	10	3	1934				Geologist, an expert in the study of granitoids and associated mineralization	http://www.isaran.ru/?q=ru/persostav	_________ ____ _________	03.11.1945		__________ _ _______ ______________
Yeager Ekehart	2	5	1934				Specialist in the field of botany, botanical geography	http://www.isaran.ru/?q=ru/persostav	_________ ______ ___________	15.11.1916	01.06.1988	__________ _ _______ _________, ________, ______________
Viktor Kabanov	15	1	1934	31	3	2006	Expert in the field of macromolecular compounds	http://www.isaran.ru/?q=ru/persostav	_______ ______ ________	27.10.1944	13.01.2010	__________ _ _______ ____________ ______-__________ _ ____________ _______ __________ __________, __________ _ _______ _______________ _________ _______ _________
Valery Kazakov	11	7	1934	6	8	2010	Specialist in the field of physical chemistry and chemical physics	http://www.isaran.ru/?q=ru/persostav	________ ___ ________	19.11.1930	06.01.1988	__________ _ _______ _______ ________ _ ___________________ ___________
William Kime	1	12	1934				Specialist in the field of catalytic synthesis of higher olifenov, chemistry of carbon oxides and methyl formate	http://www.isaran.ru/?q=ru/persostav	________ _______ __________	03.09.1833	29.11.1910	_______________ _______
Kamilov Ibragimkhan Kamilovich	10	9	1934				Expert in the field of solid state physics and magnetism	http://www.isaran.ru/?q=ru/persostav	_____ ____ (_____) ________	01.06.1815	26.04.1876	_________, _______
Alexander Kaminsky	23	10	1934				Experimental physicist, an expert in the field of physics of laser crystals	http://www.isaran.ru/?q=ru/persostav	___ ______ __________	20.09.1944		__________ _ _______ _____________
Capons David Rodionovich	22	7	1934				Expert in the theory of designing underground ore mining	http://www.isaran.ru/?q=ru/persostav	_____ ____ __________	01.08.1932	26.01.2010	__________ _ _______ _____ ______________, _____________
Katorgin Boris	13	10	1934				Specialist in the field of energy.	http://www.isaran.ru/?q=ru/persostav	_____ _______ _________	10.02.1849	14.02.1915	_________
Klyachkin Yuri Stepanovich	31	12	1934	31	3	2000	Expert in the field of physico-chemical and technological foundations build new shielding materials	http://www.isaran.ru/?q=ru/persostav	______ ______	13.08.1842	29.06.1906	_______
Alexander Konovalov	30	1	1934				Expert in the field of organic chemistry	http://www.isaran.ru/?q=ru/persostav	_______ _________ ________	25.08.1924		__________ _ _______ _____________ _ __________ ____________
Alexei Kontorovich Emilevich	28	1	1934				Expert in the field of geology and geochemistry of oil and gas	http://www.isaran.ru/?q=ru/persostav	_______ ________ ________	12.08.1935		__________ _ _______ ___________, ___________ _ _________ __________-____________ ________ ________ _______
Kruglyakov Edward P.	22	10	1934	6	11	2012	Expert in the field of plasma physics, condensed matter physics, lasers	http://www.isaran.ru/?q=ru/persostav	_______ ________ __________	23.02.1910	25.02.1990	_________
Kuntcevich Anatoly Dem'yanovich	6	8	1934	29	3	2002	Specialist in physical and organic chemistry	http://www.isaran.ru/?q=ru/persostav	_______ _______ __________	01.01.1946		__________ _ _______ ________-_____________ _______ ____________ ___________ ________
Larichev Oleg	20	9	1934	19	1	2003	Expert in the field of decision-making and artificial intelligence	http://www.isaran.ru/?q=ru/persostav	______ _________ _________	08.02.1942		__________ _ _______ __________ ________
Yuri Leonov	15	11	1934				Expert in the field of geology, regional and theoretical tectonics and tectonic mapping	http://www.isaran.ru/?q=ru/persostav	_______ _____ __________	21.05.1908	04.11.1972	__________ _ _______ ________
Leontiev Leopold I.	1	12	1934				Specialist in physical chemistry and technology of metallurgical processes	http://www.isaran.ru/?q=ru/persostav	________ ______	01.07.1729	10.02.1760	_________, ________, __________
Letnikov Felix Artemyevitch	3	10	1934				Specialist in the field of geology, geochemistry and petrology of the formation of the Earth's crust	http://www.isaran.ru/?q=ru/persostav	______ ______ _________	20.06.1905	29.12.1978	__________, _______
Lobashev Vladimir Mikhailovich	29	7	1934	3	8	2011	Expert in the field of nuclear physics and elementary particle physics	http://www.isaran.ru/?q=ru/persostav	______ _____ (______) ____	22.06.1938		__________ _ _______ _______________ __________ _____________ ______________
Viktor Mikhailov Nikitivich	12	2	1934	25	6	2011	Expert in the field of theoretical and experimental nuclear physics, high energy density and high-speed processes	http://www.isaran.ru/?q=ru/persostav	_______ ______ __________	27.07.1964		__________ _ _______ _____________ ________, ____________ _____________ __________ _ ___________________ ________ __
Gennadiy A. Mikhailov	6	3	1934				Expert in the field of numerical statistical models in computational mathematics and mathematical physics	http://www.isaran.ru/?q=ru/persostav	_____________ ______ ________	10.06.1870	17.11.1943	______
Moline Yurii	3	2	1934				Expert in the field of Chemical Physics	http://www.isaran.ru/?q=ru/persostav	________ ________ ________	15.09.1783	29.04.1864	__________, _______, ________, ______ _______
Vladimir A. Nazarenko	7	7	1934	19	10	2006	Expert in the field of nuclear physics and elementary particle	http://www.isaran.ru/?q=ru/persostav	________ _____ __________	02.08.1926		__________ _ _______ ____________ _______________
Nikolaev Aleksey Gromov	29	10	1934				Specialist in General and Applied Geophysics and Seismology	http://www.isaran.ru/?q=ru/persostav	__________ _______ __________	11.01.1888	23.07.1961	_____-_______, ________
Yuri A. Ovchinnikov	2	8	1934	17	2	1988	Chemist, biochemist	http://www.isaran.ru/?q=ru/persostav	__________ _______ __________	19.02.1873	14.01.1969	_____-_______
Shepherds Edward A.	7	9	1934				Expert in the field of physical chemistry and high metal ion solutions	http://www.isaran.ru/?q=ru/persostav	__________ ______ __________	01.01.1772	11.02.1839	_______________ _______
Alexander Petrov	3	2	1934	23	2	2011	Expert in the field of operations research, systems analysis and mathematical modeling	http://www.isaran.ru/?q=ru/persostav	__________ ______ __________	01.05.1863	11.04.1938	_______ __________, _______
Peshekhonov Vladimir G.	14	6	1934				Specialist in the field of high-precision and high-precision autonomous marine instrument complexes	http://www.isaran.ru/?q=ru/persostav	______ ______ _______	20.08.1913	01.01.1994	__________ _ _______ __________ _____, ________
Nikolai Plate Alfredovich	4	11	1934	16	3	2007	Expert in the field of macromolecular compounds	http://www.isaran.ru/?q=ru/persostav	______ ____ ________	24.03.1911	30.03.1992	_____
Harry A. Popov	18	12	1934				Expert in the field of electrical processes in rocket engines and low-temperature plasma accelerators	http://www.isaran.ru/?q=ru/persostav	________ _____ _________	19.05.1941		__________ _ _______ _____________ _____
Ramachandra Rao Chintamani Nagesa	30	6	1934				Chemist, expert in the field of Solid State Chemistry	http://www.isaran.ru/?q=ru/persostav	____________ _________ __________	29.01.1888	09.05.1986	__________ _ _______ ___________ ______ _____ _ __________ __________
Reverdatto Vladimir	29	10	1934				Expert in the field of geochemistry, mineralogy and petrography (problems metamorphism of rocks)	http://www.isaran.ru/?q=ru/persostav	______ _________ _________	04.09.1931		________
Rubbia (Rubbia) Carlo (Carlo Rubbia)	31	3	1934				Physicist, a specialist in quantum field theory, accelerator technology	http://www.isaran.ru/?q=ru/persostav	_______ _________ __________	24.12.1918	28.06.2004	__________ _ _______ _______________ ____________, ___________ _______ __________ _ ___________
Sorbs Victor Afanasevich	6	8	1934	11	9	1996	Expert in the field of physical chemistry of hydrous and anhydrous systems	http://www.isaran.ru/?q=ru/persostav	______ _________ _________	26.08.1858	17.09.1931	________, _______, __________ __ ____________ _________, _______
Ge (Si) Syande [XIE, Xiande (Hsieh, Hsien-deh)]	14	10	1934				Specialist in the field of mineralogy of ore deposits, the mineralogy of meteorites and the Earth's mantle xenoliths	http://www.isaran.ru/?q=ru/persostav	______ ______ ________	25.04.1902	30.01.1988	_____
Severin Evgueni	2	7	1934				Specialist in the design of molecular bases of the regulation of cellular processes	http://www.isaran.ru/?q=ru/persostav	________ _____ ______	09.01.1923		__________ _ _______ ______ ________________, _____________, ______ _______
Skrebitsky Vladimir G.	27	7	1934				One skilled in the field of research of synaptic processes of different neurons in the cerebral structures	http://www.isaran.ru/?q=ru/persostav	___________ _____ __________	09.10.1845	24.11.1930	_______
Leonid Smirnov	12	8	1934				Expert in the theory and practice of metallurgy	http://www.isaran.ru/?q=ru/persostav	___________ ________ __________	10.06.1867	29.06.1936	_______ __________, _________
Stepin Vyacheslav Semenovich	19	8	1934				Specialist in epistemology, philosophy of science and technology, history of science	http://www.isaran.ru/?q=ru/persostav	___________ ______ ________	01.06.1812	09.02.1880	_______-_______, _________, ________
Teryaev Evgeny	14	12	1934	10	2	2012	Expert in the field of automatic control theory	http://www.isaran.ru/?q=ru/persostav	__________ ______ __________	27.02.1902	08.08.1973	_________, __________ _ _______ _____________
Michael L. Titarenko	27	4	1934				Specialist in international relations and mezhtsivilizovannyh in Northeast Asia	http://www.isaran.ru/?q=ru/persostav	______ (__________) _____ _____________	21.12.1879	05.03.1953	_________ _______________ _ _________ _______
Ludwig Dmitrievich Faddeev	23	3	1934				Expert in the field of mathematical physics and functional analysis	http://www.isaran.ru/?q=ru/persostav	_________ ______	26.03.1892	24.02.1974	______, ___________, __________, ______
Yuri Ivanovich Chernov	8	1	1934	22	5	2012	Specialist in the field of zoology, ecology, biogeography	http://www.isaran.ru/?q=ru/persostav	______ _____ ________	23.03.1902	27.03.1964	___________, __________ _ _______ __________
Chupahin Oleg	9	6	1934				Expert in the field of organic chemistry	http://www.isaran.ru/?q=ru/persostav	_____ _____ __________	30.11.1883	02.11.1955	__________ _ _______ ___________ _ ______________
SHatalin Stanislav	24	8	1934	3	3	1997	Expert in the field of economic planning methodology and prediction of complex problems of socio-cultural development and improving the people's welfare, economic and mathematical modeling	http://www.isaran.ru/?q=ru/persostav	____________ _______ _____________	19.04.1948		_____-________, __________ _ _______ ______ __________ _ __________
Sergey Shestakov	23	11	1934				Specialist in microbial genetics, molecular genetics and radiation	http://www.isaran.ru/?q=ru/persostav	__________ ________ _________	03.05.1905	20.10.1975	_________-_________
Albert N. Shiryaev	12	10	1934				Expert in the field of probability theory and mathematical statistics	http://www.isaran.ru/?q=ru/persostav	_________ ______ ___________	24.03.1953	30.09.2005	__________ _ _______ ________________, ______________ _ ________________
Noisy Vladimir K.	12	2	1934				Expert in the field of plant genetics, problems of heterosis	http://www.isaran.ru/?q=ru/persostav	__________ ____ _________	06.11.1922	30.11.2007	__________ _ _______ ________ _ __________ _______ ___________-________________ ________
Yudakhin Felix N.	15	9	1934	30	8	2011	Specialist in the study of the deep structure and geodynamics of the lithosphere, seismicity and seismic zoning geoecology	http://www.isaran.ru/?q=ru/persostav	______ ________ __________	02.01.1824	10.10.1906	_______ _________, ______
Rafael Yusupov Midhatovich	17	7	1934				Expert in the field of information technology, automation, and control theory	http://www.isaran.ru/?q=ru/persostav	_______-_________ ____ __________	05.11.1945		__________ _ _______ __________, _______ ________ ______, __________, _________ _ __________ ________ _______
Yakovlev, Victor L.	8	10	1934				Specialist in the field of technology development of mineral deposits	http://www.isaran.ru/?q=ru/persostav	__________ _______ ________	30.09.1832	29.01.1897	_________
Anfimov Nikolai Apollonovich	29	3	1935				Expert in the field of aerodynamics, research aerogasdynamics, heat transfer and thermal protection rockets and spacecraft	http://www.isaran.ru/?q=ru/persostav	______ ________ ____________	30.01.1781	18.04.1863	__________________-_______, _______, _________
Barsbold Rinchengiyn (Rinchen) (Rinchen Barsbold)	21	12	1935				Paleontologist	http://www.isaran.ru/?q=ru/persostav	_____ ______	26.11.1862	28.10.1943	__________-_______, ________
Bibilashvili Yuri K.	26	2	1935				Specialist in the design of structures, materials and production technology of fuel elements (cartridges) for research and industrial installations reactor nuclear power plants.	http://www.isaran.ru/?q=ru/persostav	______ _____ ______ ______	25.12.1900	28.08.1962	___________
Alexei Bogdanov	11	10	1935				Specialist in the field of bioorganic chemistry and molecular biology	http://www.isaran.ru/?q=ru/persostav	_______ ________ _________	09.01.1864	30.05.1926	_________
Anatoly Leonidovich Buchachenko	7	9	1935				Expert in the theory of the structure, chemical kinetics, and rf physics of chemical reactions	http://www.isaran.ru/?q=ru/persostav	_______ (_______) _____ _________ (Steller Georg Wilhelm)	10.03.1709	12.11.1746	__________________, ______________
Bystrov Vladimir Fedorovich	31	12	1935	13	8	1990	Expert in the field of biopolymers	http://www.isaran.ru/?q=ru/persostav	____________ _________ __________	03.02.1950		__________ _ _______ ________ ______ ___________________ ______________ ________________ _________
Vanyushin Boris Fedorovich	16	2	1935				Expert in the field of molecular biology.	http://www.isaran.ru/?q=ru/persostav	_________ _______ _______ ____	08.03.1813	20.06.1897	__________________, ______ _ ________
Vas'kovsky Victor E.	28	10	1935				Expert in the field of chemistry and biochemistry of marine organisms	http://www.isaran.ru/?q=ru/persostav	_______ _______ (Stenflo Lennart)	27.11.1939		_____, __________ _ _______ _______- _ ___________, ____________, ________ _ ______ ______
Eugene P. Velikhov	2	2	1935				Specialist in low temperature plasma physics and magnetohydrodynamics	http://www.isaran.ru/?q=ru/persostav	______ ____ ______ _______	02.10.1891	11.01.1984	___________
Voroztsov Georgy	7	11	1935				Expert in the field of chemistry and technology of fine chemicals	http://www.isaran.ru/?q=ru/persostav	________ _________ __________	26.08.1908	16.08.1972	__________ _ _______ ______ __________
Vyatkin Herman Platonovich	1	5	1935				Specialist in physical and chemical bases of metallurgical processes and experimental metallurgy	http://www.isaran.ru/?q=ru/persostav	________ _________ ____________	11.10.1944		__________ _ _______ ___________, _______________ _ ______ ___________ ______
Hajiyev Ilyas Mamedovich	14	11	1935	12	9	2006	Specialist in problems of geography and cartography, genesis and evolution, rational organization of soil and its use of complex	http://www.isaran.ru/?q=ru/persostav	________ ________ __________	02.04.1931	01.10.1997	__________ _ _______ ________ _ _______________ _____ _____ _ _________
Gantmakher Vsevolod Feliksovich	8	10	1935				Experimental physicist, an expert in the field of solid state physics	http://www.isaran.ru/?q=ru/persostav	________ ________ __________	13.12.1949		_________. __________ _ _______ _______________ _______
Gasparov Michael Leonovich	13	4	1935	7	11	2005	Expert in the field of classical philology, ancient history, and the general theory of translation poetics	http://www.isaran.ru/?q=ru/persostav	________ ________ __________	14.12.1913	26.08.1986	__________ _ _______ ___________
Gvozdeff Vladimir	1	5	1935				Biologist. Expert in the field of molecular genetics	http://www.isaran.ru/?q=ru/persostav	________ ________ __________	04.09.1889	22.07.1950	_________
Hyacinths Nikolai (Ernestovich)	9	11	1935				Specialist in the field of spectroscopy of molecular crystals, photophysics and photochemistry	http://www.isaran.ru/?q=ru/persostav	________ _______ ____________	09.04.1919	28.10.1986	__________ _ _______ ______ _ __________ ___________ _ _________________
Glebovitsky Viktor	26	1	1935				Expert in the field of geology, physical and chemical petrology, geology of solid minerals	http://www.isaran.ru/?q=ru/persostav	________ _______ ________	05.07.1879	19.05.1938	_____, ___________
Golitsyn GS	23	1	1935				Specialist in oceanic and atmospheric physics, the theory of climate and climate change	http://www.isaran.ru/?q=ru/persostav	________ _____ ________	16.06.1880	26.08.1947	______
Elmar Gren Janowicz	9	10	1935				Specialist in the field of molecular biology and genetic engineering	http://www.isaran.ru/?q=ru/persostav	________ ____ _________	20.07.1930	03.01.2012	__________ _ _______ _____________ ___________, ____________-_____________ ________________ ___________, _________ _________ _ _________
Fungi Boris G.	7	4	1935				Specialist in the field of special materials for electronic equipment	http://www.isaran.ru/?q=ru/persostav	________ _____ _____________	01.01.1911	08.10.2002	_______
Yuri Gulyaev	18	9	1935				Expert in the field of solid state electronics	http://www.isaran.ru/?q=ru/persostav	______ ________ _________	19.08.1934		__________ _ _______ ______ ________, _________ _____ _ _______, _______ _____
Debabov Vladimir G.	17	10	1935				Expert in the field of genetic engineering, biotechnology, industrial microbiology	http://www.isaran.ru/?q=ru/persostav	_______ ________ _______	26.01.1927		__________ _ _______ ____________ _______ ______________ ________, ________ ________________ _________ _I_-__ __.
Sri Krishna Joshi	6	6	1935				Expert in the field of solid state physics and new materials for the electronics industry	http://www.isaran.ru/?q=ru/persostav	_______ _______ __________	29.03.1816	30.05.1887	_______, ________, _______
David Abramovich Dodin	13	11	1935				Specialist in the field of petrology, mineralogy and geochemistry of igneous rocks and associated ore deposits.	http://www.isaran.ru/?q=ru/persostav	_______ _____ _________	05.08.1891	02.04.1969	__________ _ _______ ____________ _ ___________ __________
David Davies (Davies David Evan Naunton)	28	10	1935				Expert in the field of electronics and automation of transport radar systems	http://www.isaran.ru/?q=ru/persostav	________ _______ ____________	28.11.1927		__________ _ _______ ___________ _ _______________ ______
EVSIKOV Vadim I.	5	4	1935				Expert in the field of genetics and ecological genetics of animals	http://www.isaran.ru/?q=ru/persostav	_______ ______ _____ (Stiglitz Joseph Eugene )	09.02.1943		_________. __________ _ _______ _________ __________
Yuriy Zhuravlev	14	1	1935				Expert in the field of computer science and mathematical cybernetics	http://www.isaran.ru/?q=ru/persostav	_____ ________ ______ ______	19.11.1837	19.11.1918	______, ________
Zhuchenko Alexander	25	9	1935	1	6	2013	Specialist in applied genetics and breeding theoretical foundations of agricultural plants	http://www.isaran.ru/?q=ru/persostav	_________ _____ ________	29.12.1856	31.12.1894	_________
Zaliznyak Andrey	29	4	1935				Specialist in Russian and Slavic linguistics, structural grammar of Russian history and Russian language, Common Slavonic and East Slavic accentuation, the study of ancient manuscripts	http://www.isaran.ru/?q=ru/persostav	______ ______ __________	12.12.1937		__________ _ _______ ______ _______ _________, ______ _______ ________ _ _______ ____________
Vladimir Lazarevic Zelman	26	9	1935				Medic, specialists in neuroanesthesiology	http://www.isaran.ru/?q=ru/persostav	_______ ________ _____________	01.06.1932	02.02.2007	__________ _ _______ __________ ________ _ ____________ ___________ ___
Marshmallows Nicholas Seraphimovich	13	9	1935				Specialist in the synthesis of organic compounds, stereochemistry, reaction mechanisms of organic skeletal rearrangements, use of computers for solving structural problems of organic chemistry	http://www.isaran.ru/?q=ru/persostav	_________ ________ ________	01.07.1775	25.08.1832	_____
Ivanter Victor	14	11	1935				Specialist in analysis and forecasting of monetary circulation, finance and prices	http://www.isaran.ru/?q=ru/persostav	______ ______ (Stolen Roger)	18.09.1937		__________ _ _______ __________ __________ __________ ______, ___________ __________ __________, __________ __________ _________ _ _________
Ivanter Ernest V.	15	11	1935				Expert in the field of ecology, biocenology, morphophysiology and evolutionary ecology of animals	http://www.isaran.ru/?q=ru/persostav	_________ _________ __________	20.01.1952		__________ _ _______ ___________________ _____ ________ ______ _ __________
Nicola Cabibbo (Nicola Cabibbo)	10	4	1935	16	8	2010	Physicist and expert in the field of elementary particle physics	http://www.isaran.ru/?q=ru/persostav	_______ (______) _____ ______	27.09.1920	01.01.1992	_________ , __________ _ _______ ______ _________ __________ _ _______ _______, ________________ ______________
Kalinnikov Vladimir Trofimovitch	27	11	1935				Expert in the field of chemistry and technology of inorganic materials, technology integrated minerals and magnetic methods of research and inorganic materials	http://www.isaran.ru/?q=ru/persostav	______ ________ ________	04.12.1942		__________ _ _______ _________, ____________ ________ _ ________ _______ _________ __________
Kalitkin Nikolai	16	8	1935				Expert in the field of mathematical modeling of thermal properties of substances and Computational Mathematics	http://www.isaran.ru/?q=ru/persostav	__________ _______ _____	10.05.1835	12.01.1906	_______
Guard Yurii	26	8	1935				Specialist in General Linguistics, Russian philology and Finno-Ugric	http://www.isaran.ru/?q=ru/persostav	__________ _____ __________	12.11.1950		__________ _ _______ _____, _____________ _________ _ __________ _________ _ ____________________ __________, _ _____ __________ ___ ___________ _ _______________ _______
KOROCHKIN Leonid	16	4	1935	19	8	2006	Specialist in the study of molecular and genetic mechanisms of individual development	http://www.isaran.ru/?q=ru/persostav	____________ _____ (Michael Stonebraker)	11.10.1943		__________ _ _______ ___________
Koshelenko Gennady Andreyevich	21	1	1935				Specialist in the field of ancient history and classical archeology	http://www.isaran.ru/?q=ru/persostav	_________ _______	06.08.1860	16.06.1930	_______-_______, _______
Krasnoshchekov Pavel	6	5	1935				Specialist in the field of mechanics, applied mathematics, and design automation	http://www.isaran.ru/?q=ru/persostav	_________ _______ __________	29.12.1876	27.06.1952	_____-________, _______, ____________
Hans Lenk (Lenk Hans)	23	3	1935				Philosopher, an expert in the philosophy of science and technology, engineering ethics	http://www.isaran.ru/?q=ru/persostav	___________ ______	01.02.1844	19.05.1912	_______
